"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Window","Update Project","Alt+F5","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Terminal view commands","Paste","Shift+Insert","Terminal Widget in Focus"
"View","Zoom Out","Ctrl+-","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"File","Save All","Ctrl+Shift+S","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Widget in Focus"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"File","Properties","Ctrl+Shift+Enter","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Activate Editor","F12","In Windows"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Widget in Focus"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Window","Quick Access","Ctrl+3","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
